Open_time,Open,High,Low,Close,Volume,1w_ema10,1w_ema20,1w_ema50,1w_rsi,1w_rsi7,1w_macd,1w_macd_sig,1w_macd_hist,1w_bb_w,1w_bb_pct,1w_atr,1w_adx,1w_stoch_k,1w_stoch_d,1w_willr,1w_cci,1w_roc,1w_mom,1w_pvs_ema10,1w_pvs_ema20,1w_ret,1w_obv,1w_mfi,1M_ema10,1M_ema20,1M_ema50,1M_rsi,1M_rsi7,1M_macd,1M_macd_sig,1M_macd_hist,1M_bb_w,1M_bb_pct,1M_atr,1M_adx,1M_stoch_k,1M_stoch_d,1M_willr,1M_cci,1M_roc,1M_mom,1M_pvs_ema10,1M_pvs_ema20,1M_ret,1M_obv,1M_mfi
2021-07-18,26.789,27.756,26.233,26.673,1727601.788,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-19,26.679,26.71,23.975,24.509,3131177.977,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-20,24.524,24.982,22.1,23.474,3555428.542,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-21,23.484,27.461,22.8,26.7,4561993.007,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-22,26.706,28.17,25.91,27.699,2643783.144,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-23,27.7,28.713,26.385,28.516,3040520.321,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-24,28.53,29.548,28.013,28.616,2678108.81,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-25,28.626,28.898,26.5,28.248,2350991.534,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,21962003.335,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-26,28.247,31.115,27.83,28.184,6221691.897,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,49995802.697,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
2021-07-27,28.183,28.95,26.893,28.103,3008374.757,92.5289,146.32594999999998,116.47037999999995,78.80966395724897,100.0,-6.683360952707048,13.46217537310818,-20.14553632581523,1.8835481507016882,0.6817919937754235,38.08385714285714,46.77939878853562,76.962287250284,85.28922081940073,-7.1480144404332195,101.49042480836529,512.3619371282922,144.732,0.465920377150715,0.3424139736429246,0.2094661568960634,49995802.697,70.78274810004335,128.29899999999998,77.3755,106.76520000000001,38.978658980405854,53.11720698254364,10.265206124606053,-17.13321664446907,27.398422769075122,3.2161000241166944,0.27409644673143424,53.78071428571428,7.366540254430311,14.803244999813513,19.75603522310452,-96.84242009912835,-96.72909709303512,-68.81869400572643,-74.50999999999999,-0.6432552085641154,-0.7265284231150004,0.30571718851020613,181725369.047,59.20309483812005
