Open_time,Open,High,Low,Close,Volume,Close,w_ema_10,w_ema_20,w_ema_50,w_sma_20,w_adx,w_macd,w_macd_signal,w_macd_hist,w_rsi,w_rsi_7,w_stoch_k,w_stoch_d,w_williams_r,w_cci,w_roc_10,w_momentum,w_bb_width,w_bb_pct,w_atr,w_atr_pct,w_price_vs_ema10,w_price_vs_ema20,w_price_vs_ema50,w_returns,Close,m_ema_10,m_ema_20,m_ema_50,m_sma_20,m_adx,m_macd,m_macd_signal,m_macd_hist,m_rsi,m_rsi_7,m_stoch_k,m_stoch_d,m_williams_r,m_cci,m_roc_10,m_momentum,m_bb_width,m_bb_pct,m_atr,m_atr_pct,m_price_vs_ema10,m_price_vs_ema20,m_price_vs_ema50,m_returns
2021-07-18,31520.07,32435.0,31108.97,31778.56,35923.716186,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-19,31778.57,31899.0,30407.44,30839.65,47340.468499,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-20,30839.65,31063.07,29278.0,29790.35,61034.049017,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.265128,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-22,32144.51,32591.35,31708.0,32287.83,46148.092433,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-23,32287.58,33650.0,31924.32,33634.09,50112.863626,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-24,33634.1,34500.0,33401.14,34258.14,47977.550138,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-25,34261.51,35398.0,33851.12,35381.02,47852.928313,35381.02,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-26,35381.02,40550.0,35205.78,37237.6,152452.512724,39845.44,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
2021-07-27,37241.33,39542.61,36383.0,39457.87,88397.267015,39845.44,45218.647000000004,51640.587499999994,43203.8684,51640.587499999994,23.92324541337486,-2652.73417877718,-784.4854525416894,-1868.2487262354907,77.08972807823615,73.08913384132427,58.22655819282602,75.50510346791562,-16.297598218546202,194.4236163679847,36.23126184604064,12818.990000000005,0.6326021228466684,0.4313009287565341,7148.483571428573,0.11661512062728707,-0.04550660261904793,-0.043459178306211044,-0.552914340420498,0.12618121241275704,47100.89,45196.136,33179.918,53475.533200000005,33179.918,15.565769532930856,6032.335489311379,-893.1131028628325,6925.448592174212,34.25190955616675,48.429205257162764,27.107488603261615,25.75701508842487,-96.49536766709487,-117.96146567858524,-57.6606514229349,-27158.68,1.6368865390249085,0.4131945291217093,11724.06857142857,0.5721642347435265,-0.29637701771673575,-0.14209070679439284,1.132731048673302,-0.06956959836640031
