Date,Close,High,Low,Open,Volume
2021-07-16,15.26286506652832,16.321998596191406,15.17061710357666,15.74685287475586,680392108
2021-07-17,15.360055923461914,15.638663291931152,15.049382209777832,15.242046356201172,677124647
2021-07-18,15.502411842346191,16.057231903076172,15.197690963745117,15.363485336303711,574546105
2021-07-19,14.509061813354492,15.598388671875,14.432014465332031,15.486978530883789,670510020
2021-07-20,13.775897026062012,14.746977806091309,13.422879219055176,14.530746459960938,800914402
2021-07-21,15.268477439880371,15.767757415771484,13.474334716796875,13.747906684875488,918763868
2021-07-22,16.085718154907227,16.144622802734375,15.00634765625,15.290892601013184,754697839
2021-07-23,16.51156234741211,16.563308715820312,15.266669273376465,16.0893497467041,681005827
2021-07-24,16.70583152770996,17.133996963500977,16.344289779663086,16.500450134277344,727986313
2021-07-25,16.759658813476562,17.0526123046875,16.188705444335938,16.698148727416992,662123046
2021-07-26,18.08965301513672,19.94782257080078,16.689613342285156,16.75834083557129,1715187654
2021-07-27,19.4996337890625,19.582033157348633,17.625606536865234,18.05086326599121,1093556431
2021-07-28,19.0302734375,19.986303329467773,18.644123077392578,19.52266502380371,1052448400
2021-07-29,19.345849990844727,19.459217071533203,18.638521194458008,19.081388473510742,683047916
2021-07-30,22.315961837768555,22.649574279785156,18.87271499633789,19.377670288085938,1784301053
2021-07-31,22.75370216369629,23.331911087036133,21.28620147705078,22.264617919921875,1206821084
2021-08-01,22.12683868408203,23.91910743713379,21.833097457885742,22.679584503173828,1289766472
2021-08-02,23.480348587036133,23.95513343811035,21.422109603881836,22.08708381652832,1205839586
2021-08-03,23.875957489013672,24.3566837310791,22.1583194732666,23.493396759033203,1505866474
2021-08-04,24.188875198364258,24.97098731994629,22.90483283996582,23.94451904296875,1301126744
2021-08-05,24.050495147705078,24.331344604492188,22.56277084350586,24.195911407470703,1221315372
2021-08-06,23.85933494567871,24.366409301757812,23.106555938720703,24.061424255371094,1229062846
2021-08-07,24.63165283203125,25.099088668823242,23.643022537231445,23.88467788696289,1160693889
2021-08-08,23.045608520507812,24.905963897705078,22.609874725341797,24.684465408325195,1001659430
2021-08-09,24.287246704101562,24.660282135009766,22.093862533569336,23.04239845275879,1065311842
2021-08-10,24.566286087036133,25.477703094482422,23.787742614746094,24.223100662231445,1130326992
2021-08-11,25.9465389251709,27.318159103393555,24.469619750976562,24.54694938659668,1497841555
2021-08-12,24.917234420776367,26.886777877807617,24.146345138549805,25.94180679321289,1230756534
2021-08-13,27.733137130737305,27.75890350341797,24.734994888305664,24.972097396850586,1144930390
2021-08-14,27.15542221069336,27.93221092224121,26.502994537353516,27.74058723449707,1130955982
2021-08-15,27.90401268005371,27.974796295166016,25.950136184692383,27.160842895507812,1030808400
2021-08-16,28.084339141845703,30.47988510131836,27.70220947265625,27.918773651123047,1983160447
2021-08-17,26.15813636779785,30.25987434387207,25.954618453979492,27.966819763183594,1914250031
2021-08-18,25.512895584106445,26.89016342163086,25.005725860595703,26.151649475097656,1595189412
2021-08-19,27.064760208129883,27.064817428588867,24.534896850585938,25.371936798095703,1598899266
2021-08-20,28.701841354370117,28.979713439941406,26.70717430114746,27.060466766357422,1751490161
2021-08-21,27.861591339111328,29.15736961364746,27.672607421875,28.700586318969727,1455243796
2021-08-22,28.022817611694336,28.643653869628906,26.903682708740234,27.86555290222168,1408718304
2021-08-23,28.554101943969727,29.300949096679688,27.831138610839844,28.010875701904297,1598569817
2021-08-24,25.752197265625,28.922616958618164,25.74034881591797,28.595062255859375,1613899032
2021-08-25,26.520479202270508,26.844497680664062,25.38345718383789,25.75829315185547,1415094740
2021-08-26,24.426326751708984,26.936555862426758,24.040708541870117,26.62656021118164,1311934435
2021-08-27,26.018299102783203,26.12194061279297,24.03255844116211,24.417001724243164,1210853844
2021-08-28,25.729089736938477,26.184974670410156,25.398353576660156,26.056413650512695,723391379
2021-08-29,25.813661575317383,26.570941925048828,25.21503257751465,25.739999771118164,806571295
2021-08-30,24.980934143066406,26.493799209594727,24.41466522216797,25.804899215698242,1007561616
2021-08-31,26.750707626342773,27.482952117919922,24.73932647705078,25.02507781982422,1589683012
2021-09-01,29.73518180847168,29.73518180847168,26.132543563842773,26.738431930541992,1847068364
2021-09-02,29.985244750976562,30.86711883544922,28.786727905273438,29.75444793701172,1639033323
2021-09-03,30.784265518188477,31.674488067626953,29.068960189819336,29.97003173828125,1643428629
2021-09-04,29.897823333740234,31.171709060668945,29.473405838012695,30.75564193725586,1159289898
2021-09-05,33.5034294128418,33.5034294128418,29.58090591430664,29.901952743530273,1590082788
2021-09-06,34.78485870361328,36.278076171875,32.81916427612305,33.55744171142578,2570028656
2021-09-07,28.11425018310547,35.337554931640625,24.154762268066406,34.80436706542969,4040870040
2021-09-08,27.15100860595703,29.146535873413086,25.277299880981445,28.13745880126953,2585516285
2021-09-09,27.978628158569336,30.077606201171875,26.52749252319336,26.64719009399414,2031066692
2021-09-10,26.387523651123047,29.514617919921875,25.736425399780273,27.99806785583496,1946136767
2021-09-11,27.041149139404297,27.65158462524414,26.319040298461914,26.370698928833008,1166180450
2021-09-12,29.379243850708008,29.692262649536133,26.435869216918945,27.039567947387695,1462168959
2021-09-13,26.918481826782227,29.899314880371094,25.26575469970703,29.45827865600586,2255860309
2021-09-14,30.746164321899414,30.746164321899414,26.780527114868164,26.963563919067383,2022844880
2021-09-15,30.779600143432617,31.43668556213379,29.685476303100586,30.82306671142578,1966187057
2021-09-16,29.82655143737793,32.08250427246094,29.090736389160156,30.68868637084961,1803464603
2021-09-17,27.694597244262695,30.11134147644043,27.42317771911621,29.819482803344727,1433695398
2021-09-18,28.39057731628418,29.447355270385742,27.41591453552246,27.69526481628418,1042938776
2021-09-19,27.395748138427734,28.732501983642578,26.98116683959961,28.37195587158203,879401513
2021-09-20,23.43109893798828,27.42399787902832,23.167373657226562,27.41705322265625,1886071779
2021-09-21,21.432621002197266,24.33446502685547,20.98163414001465,23.56163215637207,1778536991
2021-09-22,24.493072509765625,24.494504928588867,21.06086540222168,21.403839111328125,1389451521
2021-09-23,25.453983306884766,25.489669799804688,23.434123992919922,24.47455406188965,1217369814
2021-09-24,23.280738830566406,25.505033493041992,21.479660034179688,25.43442726135254,1642781332
2021-09-25,24.52366065979004,24.7224178314209,22.115114212036133,23.27182388305664,1343113784
2021-09-26,24.602155685424805,25.388986587524414,22.432241439819336,24.542102813720703,1923140692
2021-09-27,23.06629753112793,25.43740463256836,23.005184173583984,24.658180236816406,1068472473
2021-09-28,22.101900100708008,23.741060256958008,22.024333953857422,23.029098510742188,1022623443
2021-09-29,22.880529403686523,23.8889102935791,22.043354034423828,22.128995895385742,1000762987
2021-09-30,23.98634910583496,24.383441925048828,22.734821319580078,22.879947662353516,957760691
2021-10-01,26.297439575195312,26.617813110351562,23.614091873168945,24.005281448364258,1269326500
2021-10-02,26.94674301147461,27.800233840942383,25.85490608215332,26.317596435546875,1069727997
2021-10-03,27.559040069580078,28.15077781677246,26.556833267211914,26.923654556274414,962924866
2021-10-04,26.559356689453125,27.651256561279297,25.70303726196289,27.567171096801758,1000028043
2021-10-05,27.24262809753418,27.452245712280273,26.296201705932617,26.59714126586914,923894408
2021-10-06,26.83726692199707,28.15734100341797,25.26749610900879,27.24243927001953,1266748826
2021-10-07,26.834035873413086,27.649625778198242,25.940744400024414,26.805044174194336,1161243659
2021-10-08,26.40096092224121,27.43194007873535,26.20125389099121,26.824756622314453,907071603
2021-10-09,27.417076110839844,27.823101043701172,26.131357192993164,26.35573387145996,901974700
2021-10-10,25.648935317993164,27.446884155273438,25.522945404052734,27.43339729309082,766870491
2021-10-11,25.25881576538086,26.723255157470703,24.675758361816406,25.594345092773438,857342207
2021-10-12,24.623647689819336,25.25246810913086,23.568866729736328,25.25142478942871,1034956366
2021-10-13,25.61174964904785,25.61174964904785,24.212310791015625,24.6435546875,1072082751
2021-10-14,26.647485733032227,27.79987907409668,25.424726486206055,25.640514373779297,1375952551
2021-10-15,26.94454574584961,27.338594436645508,26.028905868530273,26.721534729003906,1233296734
2021-10-16,27.228479385375977,28.598087310791016,26.955415725708008,26.982397079467773,1125841874
2021-10-17,26.54088592529297,27.59567642211914,25.669570922851562,27.217609405517578,780641105
2021-10-18,25.70457649230957,26.732147216796875,25.298381805419922,26.55027961730957,774571489
2021-10-19,25.936241149902344,26.25593376159668,25.405818939208984,25.7224178314209,688010725
2021-10-20,27.419164657592773,27.626245498657227,25.885156631469727,25.927059173583984,1188806763
2021-10-21,28.268346786499023,29.2020206451416,27.324060440063477,27.47498893737793,1635486783
2021-10-22,28.661046981811523,29.999345779418945,28.167055130004883,28.277509689331055,1363344487
2021-10-23,31.459808349609375,31.459808349609375,28.350711822509766,28.6616268157959,1452562680
2021-10-24,29.770856857299805,31.535463333129883,28.76253318786621,31.439424514770508,1032101965
2021-10-25,32.46010971069336,32.90234375,29.542158126831055,29.72087287902832,1527370027
2021-10-26,32.503047943115234,33.785301208496094,31.347049713134766,32.371097564697266,1466770168
2021-10-27,28.88567352294922,33.89748764038086,28.086034774780273,32.53081512451172,2193969162
2021-10-28,30.227046966552734,30.833911895751953,28.72759246826172,28.874521255493164,1545343088
2021-10-29,30.934831619262695,31.95136833190918,30.012399673461914,30.21907615661621,1182578925
2021-10-30,29.78166961669922,31.10163688659668,29.313493728637695,30.915523529052734,838279040
2021-10-31,29.98500633239746,30.590328216552734,28.7630558013916,29.79422378540039,879077591
2021-11-01,31.565237045288086,31.87141227722168,29.208276748657227,30.002561569213867,1143381018
2021-11-02,32.265533447265625,32.49629592895508,31.043903350830078,31.685039520263672,1026698067
2021-11-03,31.99086570739746,32.79161071777344,30.673015594482422,32.2655143737793,1115161872
2021-11-04,31.02092933654785,32.10152816772461,30.289691925048828,31.971288681030273,896897821
2021-11-05,32.917903900146484,33.69630432128906,30.725059509277344,31.02764320373535,1516148850
2021-11-06,32.083438873291016,33.22043991088867,30.807950973510742,32.92768859863281,1023488282
2021-11-07,32.34956359863281,32.61743927001953,31.7766056060791,32.08906173706055,703297413
2021-11-08,34.47759246826172,34.80741500854492,32.26546859741211,32.3597526550293,1362690316
2021-11-09,33.85927200317383,35.6214599609375,33.55655288696289,34.46771240234375,1325328702
2021-11-10,34.34270477294922,38.1613883972168,32.11244583129883,33.82305145263672,2719351718
2021-11-11,34.8371696472168,36.9344367980957,33.49994659423828,34.33991622924805,1920816252
2021-11-12,34.26552200317383,35.45466232299805,32.75325393676758,34.75007247924805,1492228342
2021-11-13,34.0648307800293,34.56132888793945,33.21662902832031,34.2847900390625,789581582
2021-11-14,33.77658462524414,34.415771484375,32.559730529785156,34.03425598144531,693178394
2021-11-15,32.0107536315918,34.509891510009766,32.0107536315918,33.764930725097656,828524194
2021-11-16,29.225008010864258,32.1033821105957,28.177249908447266,32.1033821105957,1712138414
2021-11-17,29.19304847717285,29.715818405151367,28.16440200805664,29.209863662719727,1087871482
2021-11-18,26.525693893432617,29.69279670715332,25.95633888244629,29.20041847229004,1164181259
2021-11-19,28.29111671447754,28.85319709777832,26.155597686767578,26.525697708129883,962308251
2021-11-20,28.334068298339844,28.74301528930664,27.27271842956543,28.297513961791992,796198889
2021-11-21,29.036161422729492,29.285930633544922,27.7321720123291,28.370464324951172,788167849
2021-11-22,26.758991241455078,29.099523544311523,26.350961685180664,29.06560516357422,910918972
2021-11-23,26.93367576599121,27.54949951171875,26.257051467895508,26.785951614379883,856504533
2021-11-24,26.259172439575195,27.169527053833008,25.204622268676758,26.95874786376953,839707098
2021-11-25,26.18510627746582,27.5596923828125,25.382614135742188,25.60611343383789,920707661
2021-11-26,23.856281280517578,26.57120132446289,23.21697235107422,26.3903751373291,1451397540
2021-11-27,24.11475944519043,24.969472885131836,23.832780838012695,23.946802139282227,757714824
2021-11-28,24.823909759521484,24.896841049194336,22.923444747924805,24.13875389099121,836676572
2021-11-29,25.017925262451172,25.51533317565918,24.61510467529297,24.848844528198242,772950069
2021-11-30,25.341773986816406,26.508655548095703,24.225584030151367,25.012086868286133,1001383387
2021-12-01,25.356210708618164,26.9204158782959,25.024314880371094,25.291471481323242,918605444
2021-12-02,24.537094116210938,25.365177154541016,24.26401138305664,25.365177154541016,754628307
2021-12-03,23.291526794433594,25.880491256713867,22.693796157836914,24.566986083984375,1012128906
2021-12-04,20.667728424072266,23.382211685180664,15.549089431762695,23.382211685180664,2372072138
2021-12-05,19.47732162475586,20.948781967163086,18.529468536376953,20.666725158691406,1199283300
2021-12-06,19.884267807006836,19.926729202270508,17.267677307128906,19.497690200805664,1255772873
2021-12-07,21.09157371520996,21.158838272094727,19.753881454467773,19.88286781311035,1154171652
2021-12-08,22.886016845703125,23.102157592773438,20.82253646850586,21.091989517211914,1746207071
2021-12-09,20.306026458740234,23.053564071655273,20.291046142578125,22.8437557220459,1282728787
2021-12-10,18.583904266357422,20.884544372558594,18.516220092773438,20.299955368041992,1073605294
2021-12-11,19.949310302734375,20.168121337890625,18.261465072631836,18.590837478637695,843949544
2021-12-12,20.456584930419922,20.823474884033203,19.278799057006836,19.945531845092773,580366114
2021-12-13,17.77545928955078,20.55698013305664,17.351240158081055,20.45744514465332,906680239
2021-12-14,17.587615966796875,18.57377052307129,17.53154182434082,17.787418365478516,847438318
2021-12-15,19.71448516845703,19.918025970458984,17.320510864257812,18.46222686767578,1012068389
2021-12-16,18.78617286682129,20.310325622558594,18.70233917236328,19.695005416870117,730580557
2021-12-17,18.291275024414062,19.202302932739258,17.79973030090332,18.76231575012207,764761467
