timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,ema_9,ema_21,ema_50,volume_sma,volume_ratio,price_change,price_change_5,price_change_10,volatility
2025-07-13 18:00:00,118699.6,119070.24,118592.01,118992.73,315.39573,,0.0,0.0,0.0,,,,,118992.73,118992.73,118992.73,,,,,,
2025-07-13 19:00:00,118992.73,119488.0,118897.44,118961.08,601.53222,,-2.524786324778688,-0.5049572649557377,-2.0198290598229507,,,,,118986.40000000001,118989.85272727271,118991.4888235294,,,-0.00026598263608201833,,,
2025-07-13 20:00:00,118961.09,119367.37,118826.0,119083.6,290.26988,,5.299552438707906,0.6559446757769911,4.643607762930914,,,,,119005.84000000001,118998.37520661154,118995.10102652825,,,0.0010299166752689715,,,
2025-07-13 21:00:00,119083.6,119083.6,118500.01,118648.87,421.07599,,-23.30997761769686,-4.137239782917779,-19.17273783477908,,,,,118934.44600000003,118966.6020060105,118981.52333921343,,,-0.0036506286340017846,,,
2025-07-13 22:00:00,118648.86,118774.64,118243.68,118520.01,584.71541,,-55.73864102236985,-14.457520030808194,-41.28112099156165,,,,,118851.55880000003,118926.00273273682,118963.42477689133,,,-0.0010860617551604612,,,
2025-07-13 23:00:00,118520.01,119198.0,118386.55,119086.64,364.38555,,-35.30926174086926,-18.62786837282041,-16.68139336804885,,,,,118898.57504000003,118940.60612066982,118968.25674642502,,,0.0047808804606075395,0.0007892078784981216,,
2025-07-14 00:00:00,119086.65,119470.54,118916.17,119061.4,538.61781,,-20.914400346635375,-19.085174767583403,-1.8292255790519718,,,,,118931.14003200002,118951.58738242711,118971.9094230358,,,-0.00021194652901457278,0.0008433010191231105,,
2025-07-14 01:00:00,119061.4,119238.1,118905.18,119100.58,349.35207,,-6.27256420761114,-16.52265265558895,10.25008844797781,,,,,118965.02802560004,118965.13216584282,118976.9553280148,,,0.00032907390640457557,0.0001425889039297079,,
2025-07-14 02:00:00,119100.58,119999.0,118969.56,119647.88,1311.09415,,48.929701305387425,-3.4321818633936747,52.3618831687811,,,,,119101.59842048003,119027.20015076619,119003.2660994652,,,0.00459527569051299,0.00841988634194335,,
2025-07-14 03:00:00,119647.88,121492.48,119592.7,120750.24,3219.468856,,179.55928595170553,33.16611169962617,146.39317425207935,,,,,119431.32673638404,119183.84013706016,119071.77487987833,,,0.009213368427422264,0.01881732882067766,,
2025-07-14 04:00:00,120750.25,121438.27,120557.63,121400.0,1343.86331,,331.6908490113274,92.87105916196643,238.81978984936094,,,,,119825.06138910724,119385.30921550923,119163.07782576546,,,0.005381024501483367,0.019425856670403974,0.020230395588032968,
2025-07-14 05:00:00,121400.0,122666.0,121129.0,122461.99,2704.498689,,531.8194428727147,180.6607359041161,351.1587069685986,,,,,120352.4471112858,119665.00746864476,119292.44693063741,,,0.008747858319604562,0.028561649703430447,0.02942903679085629,
